COD_MUERTE;SEXO;MES;Muertes;Código de la CIE-10 cuatro caracteres;Descripcion  de códigos mortalidad a cuatro caracteres
A010;Femenino;5;1;A010;Fiebre tifoidea
A020;Masculino;3;1;A020;Enteritis debida a Salmonella
A020;Masculino;5;3;A020;Enteritis debida a Salmonella
A020;Masculino;6;1;A020;Enteritis debida a Salmonella
A020;Masculino;8;1;A020;Enteritis debida a Salmonella
A020;Masculino;12;2;A020;Enteritis debida a Salmonella
A020;Femenino;6;1;A020;Enteritis debida a Salmonella
A020;Femenino;9;1;A020;Enteritis debida a Salmonella
A021;Masculino;7;1;A021;Sepsis debida a Salmonella
A021;Masculino;9;1;A021;Sepsis debida a Salmonella
A022;Masculino;3;1;A022;Infecciones localizadas debidas a Salmonella
A022;Masculino;9;1;A022;Infecciones localizadas debidas a Salmonella
A029;Masculino;5;1;A029;Infeccion debida a Salmonella, no especificada
A029;Masculino;11;1;A029;Infeccion debida a Salmonella, no especificada
A029;Masculino;12;1;A029;Infeccion debida a Salmonella, no especificada
A029;Femenino;12;1;A029;Infeccion debida a Salmonella, no especificada
A039;Masculino;7;1;A039;Shigelosis de tipo no especificado
A044;Femenino;10;1;A044;Otras infecciones intestinales debidas a Escherichia coli
A047;Masculino;1;1;A047;Enterocolitis debida a Clostridium difficile
A047;Masculino;3;2;A047;Enterocolitis debida a Clostridium difficile
A047;Masculino;9;1;A047;Enterocolitis debida a Clostridium difficile
A047;Masculino;10;1;A047;Enterocolitis debida a Clostridium difficile
A047;Masculino;12;3;A047;Enterocolitis debida a Clostridium difficile
A047;Femenino;3;1;A047;Enterocolitis debida a Clostridium difficile
A047;Femenino;4;2;A047;Enterocolitis debida a Clostridium difficile
A047;Femenino;5;2;A047;Enterocolitis debida a Clostridium difficile
A047;Femenino;7;1;A047;Enterocolitis debida a Clostridium difficile
A047;Femenino;8;1;A047;Enterocolitis debida a Clostridium difficile
A047;Femenino;9;1;A047;Enterocolitis debida a Clostridium difficile
A047;Femenino;10;3;A047;Enterocolitis debida a Clostridium difficile
A047;Femenino;11;1;A047;Enterocolitis debida a Clostridium difficile
A048;Femenino;3;1;A048;Otras infecciones intestinales bacterianas especificadas
A049;Masculino;1;3;A049;Infeccion intestinal bacteriana, no especificada
A049;Masculino;2;3;A049;Infeccion intestinal bacteriana, no especificada
A049;Masculino;3;3;A049;Infeccion intestinal bacteriana, no especificada
A049;Masculino;4;2;A049;Infeccion intestinal bacteriana, no especificada
A049;Masculino;5;5;A049;Infeccion intestinal bacteriana, no especificada
A049;Masculino;6;2;A049;Infeccion intestinal bacteriana, no especificada
A049;Masculino;7;3;A049;Infeccion intestinal bacteriana, no especificada
A049;Masculino;8;3;A049;Infeccion intestinal bacteriana, no especificada
