COD_DEPARTAMENTO;SEXO;MANERA_MUERTE;Muertes;DEPARTAMENTO
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
5;Masculino;Accidente;1414;ANTIOQUIA
