SEXO;GRUPO_EDAD1;MES;Muertes
Masculino;0;1;13
Masculino;0;2;11
Masculino;0;3;20
Masculino;0;4;17
Masculino;0;5;22
Masculino;0;6;15
Masculino;0;7;14
Masculino;0;8;17
Masculino;0;9;9
Masculino;0;10;16
Masculino;0;11;12
Masculino;0;12;16
Masculino;1;1;42
Masculino;1;2;47
Masculino;1;3;33
Masculino;1;4;44
Masculino;1;5;43
Masculino;1;6;52
Masculino;1;7;52
Masculino;1;8;45
Masculino;1;9;51
Masculino;1;10;52
Masculino;1;11;42
Masculino;1;12;53
Masculino;2;1;84
Masculino;2;2;72
Masculino;2;3;96
Masculino;2;4;78
Masculino;2;5;79
Masculino;2;6;93
Masculino;2;7;86
Masculino;2;8;85
Masculino;2;9;107
Masculino;2;10;76
Masculino;2;11;75
Masculino;2;12;110
Masculino;3;1;60
Masculino;3;2;62
Masculino;3;3;72
Masculino;3;4;62
Masculino;3;5;60
Masculino;3;6;63
Masculino;3;7;76
Masculino;3;8;75
Masculino;3;9;62
Masculino;3;10;63
Masculino;3;11;68
Masculino;3;12;61
Masculino;4;1;5
Masculino;4;2;2
Masculino;4;4;2
Masculino;4;5;2
Masculino;4;6;1
Masculino;4;7;4
Masculino;4;8;5
Masculino;4;9;2
Masculino;4;10;4
Masculino;4;11;5
Masculino;4;12;3
Masculino;5;1;95
Masculino;5;2;66
Masculino;5;3;96
Masculino;5;4;85
Masculino;5;5;79
Masculino;5;6;86
Masculino;5;7;102
Masculino;5;8;93
Masculino;5;9;91
Masculino;5;10;94
Masculino;5;11;80
Masculino;5;12;81
Masculino;6;1;37
Masculino;6;2;34
Masculino;6;3;56
Masculino;6;4;37
Masculino;6;5;43
Masculino;6;6;56
Masculino;6;7;50
Masculino;6;8;54
Masculino;6;9;34
Masculino;6;10;36
Masculino;6;11;42
Masculino;6;12;25
Masculino;7;1;30
Masculino;7;2;38
Masculino;7;3;34
Masculino;7;4;43
Masculino;7;5;37
Masculino;7;6;30
Masculino;7;7;29
Masculino;7;8;28
Masculino;7;9;34
Masculino;7;10;38
Masculino;7;11;28
Masculino;7;12;34
Masculino;8;1;25
Masculino;8;2;27
