COD_MUNICIPIO;MES;SEXO;Muertes;MUNICIPIO
1;1;Masculino;439;LETICIA
1;1;Masculino;439;MEDELLÍN
1;1;Masculino;439;ARAUCA
1;1;Masculino;439;SAN ANDRÉS
1;1;Masculino;439;BARRANQUILLA
1;1;Masculino;439;BOGOTÁ, D.C.
1;1;Masculino;439;TUNJA
1;1;Masculino;439;MANIZALES
1;1;Masculino;439;FLORENCIA
1;1;Masculino;439;CARTAGENA DE INDIAS
1;1;Masculino;439;YOPAL
1;1;Masculino;439;POPAYÁN
1;1;Masculino;439;VALLEDUPAR
1;1;Masculino;439;QUIBDÓ
1;1;Masculino;439;MONTERÍA
1;1;Masculino;439;AGUA DE DIOS
1;1;Masculino;439;INÍRIDA
1;1;Masculino;439;SAN JOSÉ DEL GUAVIARE
1;1;Masculino;439;NEIVA
1;1;Masculino;439;RIOHACHA
1;1;Masculino;439;VILLAVICENCIO
1;1;Masculino;439;PASTO
1;1;Masculino;439;CÚCUTA
1;1;Masculino;439;MOCOA
1;1;Masculino;439;ARMENIA
1;1;Masculino;439;PEREIRA
1;1;Masculino;439;SANTA MARTA
1;1;Masculino;439;BUCARAMANGA
1;1;Masculino;439;SINCELEJO
1;1;Masculino;439;IBAGUÉ
1;1;Masculino;439;CALI
1;1;Masculino;439;MITÚ
1;1;Masculino;439;PUERTO CARREÑO
1;1;Femenino;31;LETICIA
1;1;Femenino;31;MEDELLÍN
1;1;Femenino;31;ARAUCA
1;1;Femenino;31;SAN ANDRÉS
1;1;Femenino;31;BARRANQUILLA
1;1;Femenino;31;BOGOTÁ, D.C.
1;1;Femenino;31;TUNJA
1;1;Femenino;31;MANIZALES
1;1;Femenino;31;FLORENCIA
1;1;Femenino;31;CARTAGENA DE INDIAS
1;1;Femenino;31;YOPAL
1;1;Femenino;31;POPAYÁN
1;1;Femenino;31;VALLEDUPAR
1;1;Femenino;31;QUIBDÓ
1;1;Femenino;31;MONTERÍA
1;1;Femenino;31;AGUA DE DIOS
1;1;Femenino;31;INÍRIDA
1;1;Femenino;31;SAN JOSÉ DEL GUAVIARE
1;1;Femenino;31;NEIVA
1;1;Femenino;31;RIOHACHA
1;1;Femenino;31;VILLAVICENCIO
1;1;Femenino;31;PASTO
1;1;Femenino;31;CÚCUTA
1;1;Femenino;31;MOCOA
1;1;Femenino;31;ARMENIA
1;1;Femenino;31;PEREIRA
1;1;Femenino;31;SANTA MARTA
1;1;Femenino;31;BUCARAMANGA
1;1;Femenino;31;SINCELEJO
1;1;Femenino;31;IBAGUÉ
1;1;Femenino;31;CALI
1;1;Femenino;31;MITÚ
1;1;Femenino;31;PUERTO CARREÑO
1;1;No Definido;3;LETICIA
1;1;No Definido;3;MEDELLÍN
1;1;No Definido;3;ARAUCA
1;1;No Definido;3;SAN ANDRÉS
1;1;No Definido;3;BARRANQUILLA
1;1;No Definido;3;BOGOTÁ, D.C.
1;1;No Definido;3;TUNJA
1;1;No Definido;3;MANIZALES
1;1;No Definido;3;FLORENCIA
1;1;No Definido;3;CARTAGENA DE INDIAS
1;1;No Definido;3;YOPAL
1;1;No Definido;3;POPAYÁN
1;1;No Definido;3;VALLEDUPAR
1;1;No Definido;3;QUIBDÓ
1;1;No Definido;3;MONTERÍA
1;1;No Definido;3;AGUA DE DIOS
1;1;No Definido;3;INÍRIDA
1;1;No Definido;3;SAN JOSÉ DEL GUAVIARE
1;1;No Definido;3;NEIVA
1;1;No Definido;3;RIOHACHA
1;1;No Definido;3;VILLAVICENCIO
1;1;No Definido;3;PASTO
1;1;No Definido;3;CÚCUTA
1;1;No Definido;3;MOCOA
1;1;No Definido;3;ARMENIA
1;1;No Definido;3;PEREIRA
1;1;No Definido;3;SANTA MARTA
1;1;No Definido;3;BUCARAMANGA
1;1;No Definido;3;SINCELEJO
1;1;No Definido;3;IBAGUÉ
1;1;No Definido;3;CALI
1;1;No Definido;3;MITÚ
1;1;No Definido;3;PUERTO CARREÑO
1;2;Masculino;375;LETICIA
1;2;Masculino;375;MEDELLÍN
1;2;Masculino;375;ARAUCA
